log_body_len,Contributors Expertise,n_labels,has_milestone,is_feature_label,title_len,created_dayofweek,created_hour,n_assignees,cat_bug,cat_feature,cat_improvement,comp_ui,comp_backend,comp_api,comp_network,comp_security,comp_database,comp_authentication,comp_performance,n_complexity_words,n_urgency_words,body_has_steps,n_negative_words,assignee_avg_duration,assignee_task_count,assignee_open_tasks,depaseste_sprint,Time_Taken_Days,Created At,Repository
0.0,5.199999999999999,0,1,0,30,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,2,0,6.312048611111111,2012-02-28 23:40:17+00:00,twbs/bootstrap
5.225746673713202,1.1,1,0,0,49,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,5,1,95.21144675925926,2012-02-29 00:23:39+00:00,twbs/bootstrap
4.7535901911063645,5.199999999999999,0,1,0,72,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,3,0,12.001423611111111,2012-02-29 06:00:04+00:00,twbs/bootstrap
4.983606621708336,1.1,0,0,0,26,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,6,0,6.986157407407408,2012-02-29 12:13:06+00:00,twbs/bootstrap
7.505492274737424,5.199999999999999,0,0,0,41,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,4,0,5.652465277777778,2012-02-29 15:22:52+00:00,twbs/bootstrap
5.087596335232384,5.199999999999999,2,1,0,28,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,5,0,11.46429398148148,2012-02-29 16:09:11+00:00,twbs/bootstrap
5.814130531825066,5.199999999999999,0,0,0,40,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,6,0,1.811099537037037,2012-02-29 16:37:07+00:00,twbs/bootstrap
6.829793737512425,1.1,1,0,0,91,2,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,7,1,19.50355324074074,2012-02-29 18:10:26+00:00,twbs/bootstrap
5.857933154483459,5.199999999999999,1,1,0,56,2,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,7,0,5.433518518518518,2012-02-29 20:36:47+00:00,twbs/bootstrap
5.780743515792329,5.199999999999999,0,0,0,62,2,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,8,0,11.30363425925926,2012-02-29 21:37:28+00:00,twbs/bootstrap
6.453624998892692,5.199999999999999,0,1,0,72,2,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9384375,0,9,0,11.347291666666667,2012-02-29 22:33:30+00:00,twbs/bootstrap
6.863803391452954,1.1,1,0,0,58,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1.7999575617283952,3,8,1,19.226377314814815,2012-03-01 00:36:26+00:00,twbs/bootstrap
4.941642422609304,1.1,0,1,0,55,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,9,1,45.208587962962966,2012-03-01 01:40:43+00:00,twbs/bootstrap
7.893198869544609,7.9,0,1,0,87,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,32.400889033564816,16,3,1,39.74358796296296,2012-03-01 03:28:21+00:00,redis/redis
4.624972813284271,5.199999999999999,1,0,0,23,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,10,0,10.521238425925926,2012-03-01 17:38:34+00:00,twbs/bootstrap
5.220355825078325,1.1,0,1,0,66,1,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7999575617283952,3,10,0,2.1163310185185185,2012-03-06 16:25:08+00:00,twbs/bootstrap
5.720311776607412,1.1,1,0,0,53,3,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9004722222222226,5,9,1,135.86118055555556,2012-03-08 23:32:29+00:00,twbs/bootstrap
6.525029657843462,1.1,1,0,0,91,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9004722222222226,5,10,0,10.75431712962963,2012-03-09 09:47:28+00:00,twbs/bootstrap
4.276666119016055,1.1,0,1,0,67,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9004722222222226,5,11,1,36.85893518518518,2012-03-09 10:07:34+00:00,twbs/bootstrap
5.493061443340548,1.1,0,1,0,47,5,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9004722222222226,5,12,0,0.20282407407407407,2012-03-10 21:16:20+00:00,twbs/bootstrap
4.962844630259907,1.1,1,0,0,16,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4508641975308643,6,12,0,12.433472222222223,2012-03-12 15:33:10+00:00,twbs/bootstrap
11.080063466005113,7.9,2,1,0,76,1,6,1,1,0,0,1,0,1,0,0,0,0,0,10,0,0,51,39.052688840155945,19,1,0,4.173946759259259,2012-04-17 06:12:44+00:00,redis/redis
8.496378051702317,7.9,2,1,0,26,2,15,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,15,37.30875173611111,20,1,0,1.964189814814815,2012-04-25 15:24:48+00:00,redis/redis
6.373319789577012,7.9,0,1,0,28,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,42.80819775132276,21,1,0,0.01667824074074074,2012-04-27 09:37:00+00:00,redis/redis
6.304448802421981,7.9,3,0,1,24,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17187047101449,23,0,1,257.41050925925924,2012-05-09 08:26:19+00:00,redis/redis
8.369388996647842,7.9,0,1,0,22,3,9,1,1,0,0,0,0,1,0,0,0,0,0,27,0,0,5,39.17187047101449,23,1,1,118.20362268518518,2012-05-10 09:30:49+00:00,redis/redis
8.334951631422454,7.9,2,1,1,49,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,39.17187047101449,23,2,1,103.20908564814815,2012-05-13 06:00:52+00:00,redis/redis
7.170888478512505,7.9,1,1,0,50,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39.17187047101449,23,3,0,13.279085648148149,2012-05-23 00:10:06+00:00,redis/redis
7.2078598714324755,7.9,1,1,0,66,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39.17187047101449,23,4,0,0.05402777777777778,2012-05-23 08:35:57+00:00,redis/redis
8.634620608292202,7.9,2,1,0,57,3,18,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,8,37.541960358796295,24,4,0,0.07146990740740741,2012-05-31 18:10:47+00:00,redis/redis
6.668228248417403,7.9,2,1,0,51,1,11,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,35.16760016025641,26,3,1,83.9797337962963,2012-06-05 11:20:16+00:00,redis/redis
9.392078425231722,7.9,2,1,0,48,5,8,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,6,35.16760016025641,26,4,0,10.03931712962963,2012-06-09 08:42:03+00:00,redis/redis
7.641564441260972,7.9,2,0,1,54,0,11,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,35.16760016025641,26,5,1,86.96293981481482,2012-06-11 11:54:19+00:00,redis/redis
6.192362489474872,7.9,0,1,0,51,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.23692301097393,27,5,1,44.44266203703704,2012-07-17 22:42:48+00:00,redis/redis
8.299285906897275,7.9,2,0,1,43,6,9,1,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,34.23692301097393,27,6,1,353.14342592592595,2012-07-22 09:41:45+00:00,redis/redis
7.055312843339752,7.9,1,1,0,58,3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.537342664930556,32,2,1,24.808506944444446,2012-09-06 13:16:08+00:00,redis/redis
5.5909869805108565,7.9,2,0,0,79,4,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,42.00010521885522,33,2,0,2.6146180555555554,2012-10-19 17:47:11+00:00,redis/redis
8.317033476492403,7.9,0,0,0,29,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,40.8417085375817,34,2,1,35.32496527777778,2012-12-14 03:15:14+00:00,redis/redis
10.206292200258018,5.199999999999999,0,1,0,16,3,4,1,0,0,1,1,0,0,0,0,0,0,1,14,0,1,10,43.70413194444444,11,0,1,242.66359953703704,2012-12-20 04:54:54+00:00,twbs/bootstrap
7.057897937411856,7.9,2,0,0,41,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8417085375817,34,3,0,9.109594907407407,2013-01-10 09:01:03+00:00,redis/redis
6.0473721790462776,10.8,0,1,0,25,0,22,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.9384375,0,0,0,1.0640625,2013-01-21 22:18:05+00:00,ReactiveX/RxJava
6.169610732491456,7.9,1,0,0,37,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.68819350600601,37,1,0,0.6004976851851852,2013-01-22 21:11:15+00:00,redis/redis
6.947937068614969,7.9,2,0,0,77,2,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44.50167519493178,38,1,1,126.91414351851851,2013-01-30 16:46:56+00:00,redis/redis
7.618251097876695,7.9,0,0,0,37,3,9,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,44.50167519493178,38,2,0,4.007905092592592,2013-01-31 09:49:33+00:00,redis/redis
5.966146739123692,7.9,1,0,0,65,0,10,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,43.4633733974359,39,2,1,163.12652777777777,2013-02-04 10:03:40+00:00,redis/redis
7.724446645633537,7.9,0,0,0,20,0,10,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,43.4633733974359,39,3,1,56.9559375,2013-02-04 10:21:57+00:00,redis/redis
5.902633333401366,0.5,0,0,0,101,4,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,0,1,55.89473379629629,2013-02-08 22:41:53+00:00,SeleniumHQ/selenium
4.553876891600541,10.8,0,1,0,13,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0640625,1,0,0,0.03622685185185185,2013-02-12 23:18:50+00:00,ReactiveX/RxJava
6.431331081933479,10.8,0,1,0,20,1,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.0640625,1,1,0,0.03391203703703704,2013-02-12 23:22:05+00:00,ReactiveX/RxJava
6.975413927455952,7.9,0,0,0,61,1,13,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6,43.4633733974359,39,4,0,12.869398148148148,2013-02-19 13:25:12+00:00,redis/redis
6.416732282512326,7.9,0,0,0,40,0,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,43.4633733974359,39,5,1,127.23574074074074,2013-02-25 10:10:01+00:00,redis/redis
5.771441123130016,9.1,0,0,0,44,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9384375,0,0,0,10.057546296296296,2013-03-05 20:51:37+00:00,SeleniumHQ/selenium
6.456769655572163,10.8,0,1,0,50,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3780671296296296,3,0,0,5.594895833333333,2013-03-07 06:33:16+00:00,ReactiveX/RxJava
5.308267697401205,7.9,2,0,0,21,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.698524016203706,40,5,1,20.793622685185184,2013-03-12 14:15:02+00:00,redis/redis
7.6004023345004,10.8,1,1,0,45,3,16,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1.6822743055555556,4,0,1,162.48886574074075,2013-03-21 16:28:17+00:00,ReactiveX/RxJava
6.0867747269123065,5.199999999999999,1,0,0,60,3,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.70413194444444,11,1,0,10.304421296296296,2013-04-04 20:23:56+00:00,twbs/bootstrap
7.282073658093465,7.9,0,0,0,37,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42.51644097222222,42,4,1,77.12275462962963,2013-04-26 08:42:38+00:00,redis/redis
7.277247726631484,7.9,0,0,0,65,4,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.51644097222222,42,5,1,207.71320601851852,2013-05-03 21:07:01+00:00,redis/redis
5.968707559985366,7.9,2,0,0,58,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,42.51644097222222,42,6,1,55.118171296296296,2013-05-08 07:25:11+00:00,redis/redis
5.680172609017068,7.9,1,0,0,39,4,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42.51644097222222,42,7,1,47.93949074074074,2013-05-10 11:47:04+00:00,redis/redis
6.56244409369372,0.5,0,0,0,71,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.89473379629629,1,0,1,238.31034722222222,2013-05-13 14:11:59+00:00,SeleniumHQ/selenium
4.127134385045092,7.9,0,0,0,14,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.51644097222222,42,8,1,40.201261574074074,2013-05-17 08:27:14+00:00,redis/redis
